,settlement_period,price,charge_MW,discharge_MW,soe_MWh,revenue,cycle,mwh_capacity
80,33,65.23627546703472,0.0,0.0,1.0,0.0,1,1.0
81,34,70.22291857478864,0.0,0.0,1.0,0.0,1,1.0
82,35,70.84041310525005,0.0,0.0,1.0,0.0,1,1.0
83,36,73.98893832224007,0.0,1.0,0.5,36.99446916112004,1,1.0
84,37,73.15129536097268,0.0,1.0,0.0,36.57564768048634,1,1.0
85,38,72.17791326924126,0.0,0.0,0.0,0.0,1,1.0
86,39,68.93066183125707,0.0,0.0,0.0,0.0,1,1.0
87,40,66.11694457748219,0.0,0.0,0.0,0.0,1,1.0
88,41,60.748418619976576,0.0,0.0,0.0,0.0,1,1.0
89,42,57.03670649797567,0.0,0.0,0.0,0.0,1,1.0
90,43,52.45951135652108,0.0,0.0,0.0,0.0,1,1.0
91,44,47.896367063165115,0.0,0.0,0.0,0.0,1,1.0
92,45,42.84136548186204,0.0,0.0,0.0,0.0,1,1.0
93,46,39.26490690791493,0.0,0.0,0.0,0.0,1,1.0
94,47,35.586438334208616,0.0,0.0,0.0,0.0,1,1.0
95,48,33.3381252567242,0.0,0.0,0.0,0.0,1,1.0
96,1,76.48193171996765,0.0,0.0,0.0,0.0,1,2.0
97,2,77.36440568923669,0.0,0.0,0.0,0.0,1,2.0
98,3,75.60947094779715,0.0,0.0,0.0,0.0,1,2.0
99,4,73.71148673248487,0.0,0.0,0.0,0.0,1,2.0
100,5,71.61622523961535,0.0,0.0,0.0,0.0,1,2.0
101,6,71.61622523961535,0.0,0.0,0.0,0.0,1,2.0
102,7,68.62499546446934,0.0,0.0,0.0,0.0,1,2.0
103,8,67.27911179777008,0.0,0.0,0.0,0.0,1,2.0
104,9,65.29754754157437,0.0,0.0,0.0,0.0,1,2.0
105,10,65.72769816981105,0.0,0.0,0.0,0.0,1,2.0
106,11,65.58761318763906,0.0,0.0,0.0,0.0,1,2.0
107,12,67.38360292409112,0.0,0.0,0.0,0.0,1,2.0
108,13,72.08157948395775,0.0,0.0,0.0,0.0,1,2.0
109,14,76.36091305352869,0.0,0.0,0.0,0.0,1,2.0
110,15,79.29366895048989,0.0,0.0,0.0,0.0,1,2.0
111,16,78.97659915751132,0.0,0.0,0.0,0.0,1,2.0
112,17,77.34719966410722,0.0,0.0,0.0,0.0,1,2.0
113,18,73.87717011157949,0.0,0.0,0.0,0.0,1,2.0
114,19,71.68583647143747,0.0,0.0,0.0,0.0,1,2.0
115,20,68.63930573330768,0.0,0.0,0.0,0.0,1,2.0
116,21,64.54324293862092,0.0,0.0,0.0,0.0,1,2.0
117,22,62.18628356843754,0.0,0.0,0.0,0.0,1,2.0
118,23,58.97797628320774,0.0,0.0,0.0,0.0,1,2.0
119,24,57.54340176532567,0.0,0.0,0.0,0.0,1,2.0
120,25,56.300885068408704,1.0,0.0,0.5,-28.150442534204352,1,2.0
121,26,56.30310233968827,0.0,0.0,0.5,0.0,1,2.0
122,27,54.8174640642377,1.0,0.0,1.0,-27.40873203211885,1,2.0
123,28,55.591291740807776,1.0,0.0,1.5,-27.795645870403888,1,2.0
124,29,55.41507854040647,1.0,0.0,2.0,-27.707539270203235,1,2.0
125,30,58.213274895224366,0.0,0.0,2.0,0.0,1,2.0
126,31,58.43239007761407,0.0,0.0,2.0,0.0,1,2.0
127,32,63.203957871249656,0.0,0.0,2.0,0.0,1,2.0
128,33,65.23627546703472,0.0,0.0,2.0,0.0,1,2.0
129,34,70.22291857478864,0.0,0.0,2.0,0.0,1,2.0
130,35,70.84041310525005,0.0,1.0,1.5,35.420206552625025,1,2.0
131,36,73.98893832224007,0.0,1.0,1.0,36.99446916112004,1,2.0
132,37,73.15129536097268,0.0,1.0,0.5,36.57564768048634,1,2.0
133,38,72.17791326924126,0.0,1.0,0.0,36.08895663462063,1,2.0
134,39,68.93066183125707,0.0,0.0,0.0,0.0,1,2.0
135,40,66.11694457748219,0.0,0.0,0.0,0.0,1,2.0
136,41,60.748418619976576,0.0,0.0,0.0,0.0,1,2.0
137,42,57.03670649797567,0.0,0.0,0.0,0.0,1,2.0
138,43,52.45951135652108,0.0,0.0,0.0,0.0,1,2.0
